,Condition,Cylinder heating zone 1,Cylinder heating zone 4,Maximum injection pressure,Mould temperature control unit 1,Cycle time,Cylinder heating zone 5,Injection time,Cylinder heating zone 2,Dosage time,Cylinder heating zone 3,Switch-over volume,Material cushion
0,Normal1,280.1,310.0,1503.16,90.0,28.88,315.1,0.23399999999999999,295.0,3.0060000000000002,310.0,1.41334,0.9184469999999999
1,Normal1,280.1,310.0,1491.97,90.0,28.878,315.2,0.23399999999999999,295.0,3.028,310.0,1.41334,0.9297719999999999
2,Normal1,281.0,310.0,1491.5,90.0,28.875999999999998,315.1,0.23399999999999999,295.0,3.028,310.0,1.41334,0.909388
3,Normal1,281.0,310.1,1531.45,90.0,28.875999999999998,315.1,0.23399999999999999,294.9,3.068,310.0,1.41334,0.956952
4,Normal1,280.7,310.0,1531.45,90.0,28.875999999999998,315.1,0.23399999999999999,294.8,3.068,310.0,,0.91958
5,Normal1,280.1,310.0,1509.38,90.0,28.875999999999998,315.1,0.23399999999999999,294.8,2.97,310.0,1.41334,0.922977
6,Normal1,279.7,310.0,1509.38,90.0,28.878,315.1,0.23399999999999999,294.8,2.938,310.0,1.41334,0.926375
7,Normal1,279.7,310.0,1514.04,90.0,28.878,315.1,0.23399999999999999,294.8,2.92,310.0,1.41334,0.925242
8,Normal1,279.9,310.1,1514.04,90.0,,315.1,0.23399999999999999,294.9,2.946,310.0,1.41334,0.922977
9,Normal1,279.9,310.0,1507.04,,28.878,315.1,,,,310.0,1.41334,0.92411
10,Normal1,279.9,310.1,1515.75,90.0,28.875999999999998,315.0,0.23399999999999999,294.7,2.944,310.0,1.41334,0.917315
11,Normal1,280.0,,1515.75,90.0,28.875999999999998,315.0,0.23399999999999999,294.8,2.944,310.0,1.41334,0.930905
12,Normal1,,310.0,1515.75,90.0,28.875999999999998,,0.23399999999999999,294.7,2.9539999999999997,310.0,1.41334,0.92411
13,Normal1,280.0,310.0,1520.26,90.0,28.875999999999998,315.0,0.23399999999999999,294.8,2.944,310.0,1.41334,0.9377
14,Normal1,280.0,310.0,1540.62,90.0,28.875999999999998,315.0,0.23399999999999999,294.8,2.968,310.0,1.41334,0.984132
15,Normal1,279.9,310.0,,90.0,28.875999999999998,315.0,0.23399999999999999,294.8,2.968,310.0,1.41334,0.9297719999999999
16,Normal1,279.9,310.1,1530.83,90.0,28.875999999999998,315.0,0.23399999999999999,294.7,2.938,310.1,1.41334,
17,Normal1,280.1,310.0,1521.97,90.0,28.875999999999998,314.9,0.23399999999999999,294.8,2.93,310.0,1.41334,0.9320370000000001
18,Normal1,280.0,310.0,1560.05,90.0,28.875999999999998,314.9,0.23399999999999999,294.7,2.908,310.0,1.41334,0.980734
19,Normal1,280.0,310.1,1525.54,90.0,28.874000000000002,315.0,0.23399999999999999,294.7,2.926,310.0,1.41334,0.941097
20,Normal1,280.0,310.0,1533.93,90.0,28.874000000000002,315.2,0.23399999999999999,294.8,2.926,310.1,1.41334,0.941097
